# Photometry of EPIC-210408563
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 36.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457061.800480,103744,239795.535889,5.735957,239176.442244,238375.770571,False,False,False,False
2457061.820912,103745,239713.756001,6.561014,239149.002433,238361.482233,False,False,False,False
2457061.841345,103746,239640.909264,6.176677,239140.022538,238365.581156,False,False,False,False
2457061.861777,103747,239549.782815,6.116086,239118.087623,238356.652137,False,False,False,False
2457061.882210,103748,239533.963616,6.074408,239178.841492,238430.338675,False,False,False,False
2457061.902642,103749,239424.994551,5.280921,239139.143839,238403.500189,False,False,False,False
2457061.923075,103750,239360.336946,5.586183,239150.422799,238427.564568,False,False,False,False
2457061.943507,103751,239239.180619,6.353147,239096.125441,238385.978660,False,False,False,False
2457061.963940,103752,239143.277430,5.875022,239075.848517,238378.338966,False,False,False,False
2457061.984372,103753,239063.143639,5.759388,239057.867642,238372.921123,False,False,False,False
2457062.004805,103754,238956.794922,6.389704,239015.014087,238342.556080,False,False,False,False
2457062.025237,103755,238862.020494,5.544857,238986.646056,238326.601937,False,False,False,False
2457062.045670,103756,238755.125743,6.347536,238950.104377,238302.399621,False,False,False,False
2457062.066102,103757,238747.465917,6.088499,239024.983275,238389.543124,False,False,False,False
2457062.086534,103758,238681.646388,5.778776,239034.731175,238411.480847,False,False,False,False
