# Photometry of EPIC-211799258
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 9.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457140.877419,107614,5035.867831,7.178051,4990.381313,4918.844640,False,False,False,False
2457140.897851,107615,5040.674544,6.241246,4994.886340,4922.435072,False,False,False,False
2457140.918283,107616,5035.709208,6.970386,4990.879568,4917.521461,False,False,False,False
2457140.938715,107617,5029.570755,6.991176,4986.570039,4912.312865,False,False,False,False
2457140.959147,107618,5032.115586,6.356645,4990.171549,4915.023097,False,False,False,False
2457140.979579,107619,5039.839558,6.539701,4997.975608,4921.943681,False,False,False,False
2457141.000011,107620,5035.269697,6.455149,4993.146851,4916.239267,False,False,False,False
2457141.020443,107621,5038.452423,5.971237,4997.061014,4919.285604,False,False,False,False
2457141.040875,107622,5040.059166,6.009773,4999.272211,4920.636817,False,False,False,False
2457141.061308,107623,4945.377306,16.942173,4904.546510,4825.058984,True,False,True,True
2457141.081740,107624,5030.251179,6.811843,4990.052948,4909.721163,False,False,False,False
2457141.102172,107625,5037.562686,6.616038,4996.344457,4915.176279,False,False,False,False
2457141.122604,107626,5026.939437,7.469575,4985.972614,4903.975935,False,False,False,False
2457141.143036,107627,5007.772450,9.428461,4966.788512,4883.971220,False,False,False,False
2457141.163468,107628,5032.140169,7.167828,4991.051909,4907.421898,False,False,False,False
2457141.183900,107629,5046.835073,6.220249,5006.905206,4922.470389,False,False,False,False
2457141.204332,107630,5040.404622,6.131902,5001.175808,4915.944090,False,False,False,False
2457141.224764,107631,5035.208082,6.767672,4996.854957,4910.834248,False,False,False,False
2457141.245196,107632,5043.873869,5.362900,5006.025185,4919.223411,False,False,False,False
2457141.265628,107633,5039.813330,6.698524,5002.549536,4914.974613,False,False,False,False
2457141.286060,107634,5003.211271,12.545603,4966.321359,4877.981205,False,False,False,False
2457141.306492,107635,5034.495442,14.246902,4998.258054,4909.160599,False,False,False,False
2457141.326924,107636,5079.187303,11.661715,5043.303589,4953.456752,False,False,False,False
2457141.347356,107637,5040.730120,10.883154,5005.167849,4914.579547,False,False,False,False
2457141.367788,107638,5000.282909,11.353684,4964.870109,4873.548270,False,False,False,False
2457141.388220,107639,4967.162015,14.847180,4931.499994,4839.452531,False,False,False,False
2457141.408652,107640,5007.894863,11.328175,4971.480206,4878.715029,False,False,False,False
2457141.429084,107641,5035.837199,7.137149,5000.186969,4906.711991,False,False,False,False
2457141.449516,107642,5041.388040,7.544362,5006.853842,4912.676970,False,False,False,False
2457141.469949,107643,5052.267041,5.893416,5018.076011,4923.205138,False,False,False,False
2457141.490381,107644,5049.563371,5.926564,5016.268382,4920.711401,False,False,False,False
2457141.531245,107646,5058.878778,6.494820,5007.184849,4910.279293,False,True,True,True
2457141.551677,107647,5056.773921,6.924914,5005.894524,4908.326483,False,False,False,False
2457141.572109,107648,5062.692992,7.268576,5012.626827,4914.404156,False,False,False,False
2457141.592541,107649,5068.667580,6.731263,5019.585605,4920.716148,False,False,False,False
2457141.612973,107650,5058.081726,7.570151,5009.860320,4910.351909,False,False,False,False
2457141.633405,107651,5078.099489,5.256023,5030.947061,4930.807512,False,False,False,False
2457141.653837,107652,5166.645960,6.542490,5120.471185,5019.708309,False,False,False,False
2457141.674269,107653,5075.230911,6.153641,5030.715151,4929.336736,False,False,False,False
2457141.694701,107654,5067.774663,5.717313,5024.335940,4922.349760,False,False,False,False
2457141.715133,107655,5054.387287,7.632391,5012.047219,4909.461039,False,False,False,False
2457141.735565,107656,5052.594619,7.338328,5011.665189,4908.486750,False,False,False,False
2457141.755997,107657,5044.273013,7.699317,5004.502008,4900.739033,False,False,False,False
2457141.776429,107658,5048.817685,7.421081,5010.073475,4905.733676,False,False,False,False
2457141.796861,107659,5057.654034,6.420027,5020.553554,4915.644617,False,False,False,False
2457141.817293,107660,5058.900014,6.291127,5023.069482,4917.599073,False,False,False,False
2457141.837725,107661,5046.738362,7.742555,5011.988524,4905.964295,False,False,False,False
2457141.858157,107662,5050.664644,7.017797,5016.942014,4910.371588,False,False,False,False
2457141.878589,107663,5051.545519,7.025736,5019.027712,4911.918692,False,False,False,False
2457141.899021,107664,5045.260075,6.994672,5014.254788,4906.614760,False,False,False,False
2457141.919453,107665,5054.954459,6.020934,5025.199906,4917.036420,False,False,False,False
2457141.939885,107666,5050.991102,6.585545,5022.567105,4913.887701,False,False,False,False
2457141.960317,107667,5045.884885,6.088759,5018.228897,4909.041079,False,False,False,False
2457141.980750,107668,5048.457229,6.997323,5021.263212,4911.574460,False,False,False,False
2457142.001182,107669,5046.162083,6.872916,5019.705440,4909.523211,False,False,False,False
2457142.021614,107670,5041.998113,7.556544,5016.217871,4905.549596,False,False,False,False
2457142.042046,107671,5049.514972,6.446982,5024.150468,4913.003541,False,False,False,False
2457142.062478,107672,5046.473767,7.708116,5021.619806,4910.001601,False,False,False,False
2457142.082910,107673,5044.153755,7.626446,5019.698558,4907.616418,False,False,False,False
2457142.103342,107674,5049.412910,7.260043,5025.094658,4912.555891,False,False,False,False
2457142.123774,107675,5034.093113,8.140221,5010.309633,4897.321521,False,False,False,False
2457142.144206,107676,5049.946700,6.139133,5026.966630,4913.536425,False,False,False,False
2457142.164638,107677,5026.316984,8.123393,5004.394466,4890.529379,False,False,False,False
2457142.185070,107678,5030.994387,7.973499,5010.384762,4896.091980,False,False,False,False
2457142.205502,107679,5047.514972,7.034232,5027.566705,4912.853381,False,False,False,False
2457142.225934,107680,5040.360184,7.354831,5020.671693,4905.544940,False,False,False,False
2457142.246366,107681,5045.298736,6.815321,5026.229960,4910.696860,False,False,False,False
2457142.266798,107682,5060.856393,6.810158,5042.346508,4926.414108,False,False,False,False
2457142.287230,107683,5043.689730,7.276279,5025.723511,4909.398823,False,False,False,False
2457142.307662,107684,5049.248377,6.257143,5031.930675,4915.220672,False,False,False,False
2457142.328094,107685,5048.039584,6.427864,5031.639100,4914.550717,False,False,False,False
2457142.348526,107686,5041.644560,7.442238,5025.996347,4908.536483,False,False,False,False
2457142.368958,107687,5050.906978,5.565186,5035.652706,4917.828222,False,False,False,False
2457142.389390,107688,5045.765713,6.737440,5031.242019,4913.059734,False,False,False,False
2457142.409822,107689,5034.061850,7.301508,5020.353202,4901.819901,False,False,False,False
2457142.430254,107690,5028.659589,7.569339,5015.800649,4896.923072,False,False,False,False
2457142.450686,107691,5025.035242,8.195864,5012.945364,4893.730211,False,False,False,False
2457142.471118,107692,5031.208057,6.738879,5019.579346,4900.033277,False,False,False,False
2457142.491550,107693,5063.998417,6.568596,5029.933759,4910.063393,False,True,True,True
2457142.511982,107694,5093.806554,6.170520,5043.274758,4923.086668,False,True,True,True
2457142.532414,107695,5074.101645,7.329195,5024.690866,4904.191585,False,False,False,False
2457142.552846,107696,5085.134562,6.642172,5036.331184,4915.527203,False,False,False,False
2457142.573278,107697,5088.308666,6.739885,5040.276903,4919.174664,False,False,False,False
2457142.593710,107698,5083.269307,6.537776,5036.203130,4914.809037,False,False,False,False
2457142.614142,107699,5070.739413,7.099969,5024.958595,4903.279003,False,False,False,False
2457142.634574,107700,5088.696660,6.079309,5043.491531,4921.532749,False,False,False,False
2457142.655006,107701,5071.981693,7.042681,5027.365200,4905.133495,False,False,False,False
2457142.675438,107702,5075.606218,6.806109,5031.450097,4908.951687,False,False,False,False
2457142.695870,107703,5079.626208,6.400198,5035.807741,4913.048795,False,False,False,False
2457142.716302,107704,5083.483858,6.028740,5040.812806,4917.799451,False,False,False,False
2457142.736734,107705,5077.972579,5.981782,5036.577502,4913.315814,False,False,False,False
2457142.757167,107706,5065.270217,7.900563,5025.464441,4901.960448,False,False,False,False
2457142.777598,107707,5068.461639,7.373615,5030.213956,4906.473640,False,False,False,False
2457142.798030,107708,5058.725296,7.217390,5022.205312,4898.234603,False,False,False,False
2457142.818463,107709,5057.135986,7.983444,5022.076424,4897.881203,False,False,False,False
2457142.838895,107710,5062.573130,7.235149,5029.404192,4904.990293,False,False,False,False
2457142.859327,107711,5076.212275,5.558414,5044.734278,4920.107482,False,False,False,False
2457142.879759,107712,5063.893733,6.631818,5034.194223,4909.360262,False,False,False,False
2457142.900191,107713,5065.419075,6.315818,5037.214490,4912.179046,False,False,False,False
2457142.920623,107714,5058.913819,7.125278,5032.214759,4906.983460,False,False,False,False
2457142.941055,107715,5045.769283,8.651331,5020.302379,4894.880805,False,False,False,False
2457142.961487,107716,5059.682453,6.581842,5036.132126,4910.525803,False,False,False,False
2457142.981919,107717,5038.220929,9.196090,5016.013413,4890.227814,False,False,False,False
2457143.002351,107718,5049.500035,7.055052,5028.651503,4902.692052,False,False,False,False
2457143.022783,107719,5037.658990,8.251288,5018.182480,4892.054544,False,False,False,False
2457143.043215,107720,5049.131055,7.015147,5030.841764,4904.550659,False,False,False,False
2457143.063647,107721,5050.850349,6.827864,5033.861853,4907.412842,False,False,False,False
2457143.084079,107722,5034.232114,8.448176,5018.646315,4892.044606,False,False,False,False
2457143.104511,107723,5052.584522,6.407234,5038.581100,4911.831847,False,False,False,False
2457143.124943,107724,5040.729302,6.909968,5028.465983,4901.574289,False,False,False,False
2457143.145375,107725,5049.975233,6.873365,5039.277743,4912.248653,False,False,False,False
2457143.165807,107726,5020.075326,9.089181,5011.741980,4884.580484,False,False,False,False
2457143.186239,107727,5039.520710,7.792620,5032.951993,4905.663030,False,False,False,False
2457143.206671,107728,5035.652797,7.616545,5031.409786,4903.998235,False,False,False,False
2457143.227103,107729,5045.175704,7.406129,5043.084585,4915.555273,False,False,False,False
2457143.247535,107730,5029.906661,7.346884,5029.312724,4901.670421,False,False,False,False
2457143.267967,107731,5040.236403,5.892023,5041.833091,4914.082512,False,False,False,False
2457143.288399,107732,5040.103900,6.937903,5044.050984,4916.196788,False,False,False,False
2457143.308831,107733,5073.628435,6.759979,5081.143281,4953.190069,False,False,False,False
2457143.329263,107734,5015.651772,7.594415,5027.321340,4899.273660,False,False,False,False
2457143.349695,107735,5030.308453,5.938992,5046.370464,4918.232806,False,False,False,False
2457143.370127,107736,5021.630291,6.896792,5040.964017,4912.740814,False,False,False,False
2457143.390559,107737,5007.646275,8.239424,5030.614268,4902.309895,False,False,False,False
2457143.410991,107738,5008.346005,7.641041,5035.409578,4907.028356,False,False,False,False
2457143.431423,107739,5011.074550,7.414038,5041.686631,4913.232823,False,False,False,False
2457143.451855,107740,5016.991538,7.012633,5051.203415,4922.681226,False,False,False,False
2457143.492719,107742,5067.937397,6.826042,5047.770021,4919.123460,False,True,True,True
2457143.513151,107743,5054.650446,6.699451,5036.171611,4907.468942,False,False,False,False
2457143.533583,107744,5046.425797,7.441423,5029.829304,4901.074505,False,False,False,False
2457143.554015,107745,5056.399906,7.208893,5041.495173,4912.692163,False,False,False,False
2457143.574447,107746,5055.729431,6.751595,5042.411111,4913.563751,False,False,False,False
2457143.594879,107747,5048.206111,7.557873,5036.068120,4907.180214,False,False,False,False
2457143.615311,107748,5047.590460,7.042160,5036.649842,4907.725138,False,False,False,False
2457143.635743,107749,5049.007554,7.049302,5040.054779,4911.096964,False,False,False,False
2457143.656175,107750,5035.519366,8.159587,5028.585137,4899.597843,False,False,False,False
2457143.676607,107751,5041.414485,6.464081,5036.655586,4907.642387,False,False,False,False
2457143.697039,107752,5034.598298,7.178373,5032.365109,4903.329520,False,False,False,False
2457143.717471,107753,5066.763829,6.980623,5031.504053,4902.449534,False,True,True,True
2457143.737903,107754,5085.908132,5.588099,5045.100983,4916.030933,False,True,True,True
2457143.758335,107755,5074.338478,7.224291,5035.206616,4906.124379,False,False,False,False
2457143.778767,107756,5066.338220,8.362828,5028.857016,4899.765878,False,False,False,False
2457143.799199,107757,5073.512202,7.046592,5037.461207,4908.364396,False,False,False,False
2457143.819631,107758,5082.529586,5.807681,5048.431769,4919.332456,False,False,False,False
2457143.840063,107759,5073.476735,6.273904,5040.901055,4911.802353,False,False,False,False
2457143.860495,107760,5077.864232,6.409549,5047.037205,4917.942172,False,False,False,False
2457143.880927,107761,5072.647336,6.748078,5043.508988,4914.420622,False,False,False,False
2457143.901359,107762,5055.745485,7.668496,5027.937754,4898.858997,False,False,False,False
2457143.921791,107763,5063.950562,6.873262,5037.054418,4907.988156,False,False,False,False
2457143.942223,107764,5074.823326,5.997099,5049.244110,4920.193170,False,False,False,False
2457143.962655,107765,5054.328746,6.970629,5030.105109,4901.072264,False,False,False,False
2457143.983087,107766,5060.929747,6.362714,5038.376566,4909.364530,False,False,False,False
2457144.003519,107767,5059.119391,6.783195,5038.376709,4909.388141,False,False,False,False
2457144.023951,107768,5047.687681,7.073549,5028.711599,4899.749101,False,False,False,False
2457144.044383,107769,5058.037983,6.641941,5040.266155,4911.332273,False,False,False,False
2457144.064815,107770,5051.204894,6.654864,5034.278074,4905.375298,False,False,False,False
2457144.085247,107771,5073.662140,5.912085,5057.778007,4928.908771,False,False,False,False
2457144.105679,107772,5067.341722,5.795994,5053.342133,4924.508816,False,False,False,False
2457144.126111,107773,5051.090369,6.837279,5038.719990,4909.924915,False,False,False,False
2457144.146543,107774,5057.930458,6.500494,5048.190928,4919.436362,False,False,False,False
2457144.166975,107775,5046.605333,6.464230,5041.445425,4912.733581,False,False,False,False
2457144.187407,107776,5025.567371,8.354090,5022.976159,4894.309195,False,False,False,False
2457144.207839,107777,5080.118346,7.887187,5039.954213,4911.334233,False,True,True,True
2457144.228271,107778,5037.987408,11.374826,4995.522236,4866.951288,False,False,False,False
2457144.248703,107779,5088.551389,5.993022,5047.942310,4919.422389,False,False,False,False
2457144.269135,107780,5064.668319,7.647090,5026.121975,4897.655021,False,False,False,False
2457144.289567,107781,5070.973734,7.057532,5034.581756,4906.169657,False,False,False,False
2457144.309999,107782,5069.247560,6.868272,5034.682890,4906.327478,False,False,False,False
2457144.330431,107783,5076.568081,7.235714,5043.515981,4915.219038,False,False,False,False
2457144.350863,107784,5058.851705,7.987398,5026.916574,4898.679827,False,False,False,False
2457144.371295,107785,5051.736587,9.115092,5021.535200,4893.360324,False,False,False,False
2457144.391727,107786,5066.537357,7.578244,5038.298085,4910.186702,False,False,False,False
2457144.412159,107787,5072.643095,5.738579,5046.715671,4918.669351,False,False,False,False
2457144.432591,107788,5053.013805,7.823567,5029.320963,4901.341226,False,False,False,False
2457144.453023,107789,5053.607858,8.085654,5032.973151,4905.061464,False,False,False,False
