# Photometry of EPIC-215900519
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 18.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457311.007891,115940,196824.775936,51.266100,196639.479608,191747.443764,False,False,False,False
2457311.028323,115941,197170.130501,52.154629,196969.719213,191865.325032,False,False,False,False
2457311.048755,115942,197429.999760,51.026533,197209.947023,191900.533169,False,False,False,False
2457311.069187,115943,197739.490097,51.156929,197501.562610,191994.569595,False,False,False,False
2457311.089620,115944,198075.426384,52.228092,197823.047144,192126.000952,False,False,False,False
2457311.110052,115945,198526.605145,51.684534,198267.847420,192388.342987,False,False,False,False
2457311.130484,115946,198888.475262,52.339869,198634.260768,192579.937939,False,False,False,False
2457311.150916,115947,199221.110451,51.573071,198982.986375,192761.514798,False,False,False,False
2457311.171348,115948,199498.751759,52.466452,199294.114772,192913.178919,False,False,False,False
2457311.191780,115949,199904.518250,51.638550,199738.544005,193205.821944,False,False,False,False
2457311.212212,115950,200328.271248,52.293697,200204.508831,193527.659108,False,False,False,False
2457311.232644,115951,200415.057209,54.076025,200247.150806,193433.799733,False,True,True,True
2457311.253076,115952,200602.825321,52.444014,200453.734429,193511.458261,False,False,False,False
2457311.273508,115953,200797.839001,53.890909,200611.445856,193547.760312,False,False,False,False
2457311.293940,115954,200966.486034,51.920725,200757.912768,193580.262533,False,False,False,False
2457311.314372,115955,201219.545387,51.420330,201014.262699,193730.009673,False,False,False,False
2457311.334804,115956,201365.582497,53.832714,201172.102635,193788.515238,False,False,False,False
2457311.355236,115957,201529.985668,52.717905,201353.360014,193877.608074,False,False,False,False
2457311.375668,115958,201792.266857,51.513865,201618.953369,194058.099585,False,False,False,False
2457311.396100,115959,201874.768211,52.677052,201691.283313,194052.276415,False,False,False,False
2457311.416533,115960,201945.774860,52.501898,201745.679643,194035.352261,False,False,False,False
2457311.436964,115961,202022.461380,52.518333,201799.925073,194024.989075,False,False,False,False
2457311.457397,115962,201908.582176,52.830891,201670.996497,193838.040002,False,False,False,False
2457311.477829,115963,201954.310108,54.526907,201703.932741,193819.420883,False,False,False,False
2457311.498261,115964,201980.197197,51.223576,201721.752189,193792.025971,False,False,False,False
2457311.518693,115965,201912.413429,52.186840,201663.581899,193694.859629,False,False,False,False
2457311.539125,115966,201930.425781,51.181732,201713.591746,193711.971176,False,False,False,False
2457311.559557,115967,201927.097721,51.876509,201759.488738,193730.950058,False,False,False,False
2457311.579989,115968,202238.830055,51.964062,202128.646131,194079.056439,False,False,False,False
2457311.600421,115969,202558.997604,52.521278,202502.714019,194437.831439,False,False,False,False
2457311.620853,115970,202102.135105,51.791868,202101.822196,194027.301933,False,False,False,False
