# Photometry of EPIC-206208968
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 26.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2456977.103267,99599,411854.642307,24.985662,413013.294339,411295.421780,False,False,False,False
2456977.123699,99600,411927.273775,26.756495,413079.236768,411367.082639,False,False,False,False
2456977.144132,99601,411533.414171,25.036670,412675.015765,410969.378231,False,False,False,False
2456977.164564,99602,419683.186481,25.972822,420778.436578,419080.111191,False,False,False,False
2456977.184996,99603,420159.621748,25.715253,421251.638743,419561.417028,False,False,False,False
2456977.205429,99604,415301.225708,24.911163,416362.460955,414681.129311,False,False,False,False
2456977.225861,99605,412931.621210,26.076507,413936.844903,412265.183572,False,False,False,False
2456977.246293,99606,412156.035107,24.605440,413094.519542,411433.301156,False,False,False,False
2456977.266726,99607,412178.430916,24.095715,413010.237693,411360.226289,False,False,False,False
2456977.287158,99608,412133.132463,26.611072,412870.352488,411232.302304,False,False,False,False
2456977.307591,99609,412668.020048,25.549428,413328.191704,411702.846034,False,False,False,False
2456977.328023,99610,413132.307232,25.774035,413692.508027,412080.598089,False,False,False,False
2456977.348455,99611,414060.495161,24.720685,414547.031674,412949.275575,False,False,False,False
2456977.368888,99612,414527.976389,26.407493,414896.108851,413313.210210,False,False,False,False
2456977.389320,99613,415911.229916,25.331217,416192.033227,414624.680611,False,False,False,False
2456977.409752,99614,416365.358627,26.150978,416561.169228,415010.034594,False,False,False,False
2456977.430185,99615,416645.362957,26.057589,416775.566186,415241.304083,False,False,False,False
2456977.450617,99616,417018.954700,25.950270,417098.155744,415581.402584,False,False,False,False
2456977.471049,99617,420973.379036,24.809551,421012.689406,419514.062008,False,False,False,False
2456977.491482,99618,418171.164656,25.746457,418180.563694,416700.658605,False,False,False,False
2456977.511914,99619,417987.084452,26.203872,417964.682169,416504.075063,False,False,False,False
2456977.532346,99620,417438.986746,25.517121,417378.648995,415937.893168,False,False,False,False
2456977.552779,99621,416603.767429,25.780165,416507.577397,415087.203618,False,False,False,False
