# Photometry of EPIC-210613397
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 21.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457061.800121,103744,818134.514595,53.258141,818972.266015,816164.573348,False,False,False,False
2457061.820553,103745,818553.452084,55.212208,819214.031378,816354.172896,False,False,False,False
2457061.840985,103746,819082.731894,53.911776,819483.012414,816586.733034,False,False,False,False
2457061.861418,103747,819626.141733,53.459257,819713.212512,816797.063116,False,False,False,False
2457061.881850,103748,820055.333752,54.569157,819803.030490,816884.254962,False,False,False,False
2457061.902282,103749,820510.495678,57.072880,819954.545262,817050.961245,False,False,False,False
2457061.922714,103750,820899.722561,54.492542,819990.456804,817120.331118,False,False,False,False
2457061.943147,103751,821355.526722,56.025906,820143.626963,817325.546406,False,False,False,False
2457061.963579,103752,821419.183765,54.775600,819868.776751,817121.514628,False,False,False,False
2457061.984011,103753,821403.836409,55.188120,819552.183407,816894.564951,False,False,False,False
2457062.004443,103754,821425.800613,56.313950,819279.676020,816730.437623,False,False,False,False
2457062.024876,103755,821445.182589,54.201757,818993.851586,816571.501886,False,False,False,False
2457062.045308,103756,821519.230852,53.367300,818735.141765,816457.823596,False,False,False,False
2457062.065740,103757,821502.581947,53.307487,818298.428004,816183.774411,False,False,False,False
2457062.086172,103758,821509.997753,55.900120,817957.294495,816022.291824,False,False,False,False
2457062.106605,103759,821607.146763,51.975079,817718.243918,815979.098314,False,False,False,False
2457062.127037,103760,821397.113596,56.840544,817160.971260,815632.969795,False,False,False,False
2457062.147469,103761,821330.628557,53.445303,816838.237946,815535.624093,False,False,False,False
2457062.167901,103762,821280.387762,52.461199,816495.379961,815431.223690,False,False,False,False
2457062.188334,103763,827691.436634,56.185696,822577.327997,821763.414009,False,False,False,False
2457062.208766,103764,822728.773935,54.373991,817323.549492,816770.262012,False,False,False,False
2457062.229198,103765,821405.318867,53.477474,815725.499159,815441.713470,False,False,False,False
2457062.249630,103766,821186.329426,51.799129,815206.150191,815199.144246,False,False,False,False
2457062.270063,103767,821191.192110,55.313391,814897.326367,815172.689895,False,False,False,False
2457062.290495,103768,821180.880156,53.369226,814544.251370,815105.804227,False,False,False,False
2457062.310927,103769,821196.564709,53.463535,814227.911869,815077.645435,False,False,False,False
2457062.331359,103770,821402.273067,56.929066,814112.907343,815250.924344,False,False,False,False
2457062.351792,103771,821624.880934,58.391459,814016.068986,815440.536193,False,False,False,False
2457062.372224,103772,821926.944937,55.736666,814006.932157,815714.052094,False,False,False,False
2457062.392656,103773,822234.992737,55.901062,813998.436838,815982.426197,False,False,False,False
2457062.413088,103774,822380.292601,57.352411,813805.615350,816058.697481,False,False,False,False
2457062.433521,103775,822640.785728,59.468147,813751.467900,816263.878206,False,False,False,False
2457062.453953,103776,822815.231901,57.746119,813688.174661,816448.178991,False,False,False,False
2457062.474385,103777,818425.974491,50.091259,815098.773740,818092.699919,False,True,True,True
2457062.494818,103778,817260.697962,51.899855,814553.751891,817766.035329,False,False,False,False
2457062.515250,103779,817413.369057,50.058098,814337.444102,817750.681239,False,False,False,False
2457062.535682,103780,817689.204964,50.009239,814244.233477,817839.258275,False,False,False,False
2457062.556114,103781,817953.910814,51.240988,814120.084977,817876.048339,False,False,False,False
2457062.576546,103782,818259.628386,50.584681,814053.151240,817947.614011,False,False,False,False
2457062.596979,103783,818446.914633,49.770021,813907.209280,817916.253212,False,False,False,False
2457062.617411,103784,819042.890299,51.610777,814151.034479,818249.376960,False,False,False,False
2457062.637843,103785,818875.809216,51.540318,813640.338204,817801.461154,False,False,False,False
2457062.658275,103786,818856.445368,52.335371,813266.442722,817462.730425,False,False,False,False
2457062.678708,103787,819019.527977,51.724556,813078.345140,817281.231613,False,False,False,False
2457062.699140,103788,819003.955839,50.663294,812779.174085,816959.297587,False,False,False,False
2457062.719572,103789,813591.606115,51.170458,813760.670977,817888.036470,False,True,True,True
2457062.740004,103790,812880.860123,50.271652,813702.036488,817746.185552,False,False,False,False
2457062.760437,103791,813177.668173,51.928591,813517.133595,817447.316386,False,False,False,False
2457062.780869,103792,813698.869644,52.998062,813649.431937,817434.785898,False,False,False,False
2457062.801301,103793,814083.362158,52.472094,813603.869510,817213.603444,False,False,False,False
2457062.821733,103794,814721.180887,50.794981,813872.789837,817276.362417,False,False,False,False
2457062.842166,103795,815001.208548,52.197054,813800.162671,816967.468383,False,False,False,False
2457062.862598,103796,815359.961201,50.688808,813833.927691,816735.483214,False,False,False,False
2457062.883030,103797,815506.037493,52.136679,813666.362962,816273.487333,False,False,False,False
2457062.903462,103798,815875.356943,51.471739,813649.378100,815934.367022,False,False,False,False
2457062.923894,103799,816433.859175,48.515299,813816.937972,815753.248175,False,False,False,False
2457062.944327,103800,816875.420698,49.514383,813922.809291,815485.224493,False,False,False,False
2457062.964759,103801,817321.834042,49.777332,814038.113680,815202.902464,False,False,False,False
